95000001,95002419,1797
90000001,90013107,9319
61958554,61958554,1
61800441,61888463,56
61700257,61799939,357
61600145,61698762,1804
61500415,61599164,278
61400593,61499864,733
61301498,61399448,1760
61200494,61299968,142
61100017,61198338,366
61001010,61099922,550
60900206,60999871,259
60800298,60899953,704
60700122,60799834,190
60600693,60699631,226
60500195,60599567,333
60400062,60499741,174
60300335,60399782,158
60200327,60299893,196
60100951,60199810,105
60000003,60099954,27384
29520093,29523378,3
29400001,29467935,8979
29300001,29399999,54695
29200000,29299999,58437
29100000,29199999,57256
29000001,29099997,73644
14100002,14153602,11614
14000001,14099997,40756
13900001,13999035,58860
13800000,13899999,58841
13700002,13799997,48452
13600001,13699999,29048
13500000,13599999,72878
13400000,13499940,64514
13300000,13399999,54532
13200000,13299994,68740
13100000,13199999,83083
13000000,13099999,91005
12900000,12999808,50930
12800000,12899953,49253
12700000,12799998,44432
12600000,12699999,85263
12500000,12599999,85383
12400000,12499999,83103
12300000,12399999,83097
12200000,12299999,38755
12100000,12199999,87747
12000001,12099999,89830
11900000,11999997,85067
11800000,11899999,85864
11700000,11799998,84572
11600000,11699999,86117
11500000,11599999,87688
11400000,11499999,85916
11300000,11399999,86111
11200000,11299999,86294
11100000,11199999,85940
11000001,11099999,79175
10900000,10999999,80264
10800001,10899999,83168
10700000,10799999,79789
10600001,10699999,83072
10500000,10599999,77594
10400000,10499999,84493
10300001,10399999,83638
10200000,10299999,82946
10100000,10199999,80430
10000001,10099999,86779
09900000,09999911,87816
09800000,09899999,87398
09700001,09799945,76083
09600000,09699990,73684
09500001,09599999,74340
09400000,09499999,75598
09300001,09399999,74153
09200000,09299999,73652
09100000,09199999,76997
09000001,09099999,77762
08900000,08999999,76652
08800000,08899999,76606
08700000,08799999,77257
08600000,08699998,76925
08500000,08599999,75467
08400000,08499999,73001
08300001,08399999,74868
08200000,08299999,74155
08100000,08199999,73909
08000001,08099997,72853
07900000,07999804,74034
07800000,07899999,71726
07700000,07799999,71471
07600000,07699998,71148
07500001,07599999,70706
07400000,07459396,43621
07300001,07358903,43457
07200000,07259041,43937
07100000,07159113,43968
07000001,07059603,43240
06900001,06965317,35028
06800001,06858061,41440
06700000,06758782,41610
06600000,06659395,41471
06500001,06560383,40985
06400000,06461640,41053
06300000,06361513,41360
06200000,06261810,42276
06100000,06164542,43585
06000003,06067177,44393
05900002,05982303,30056
05811739,05890905,8
05750241,05796012,6
05602473,05673502,7
05500561,05540862,4
05402503,05474409,15
05304188,05391947,10
05205502,05291022,13
05119595,05199700,7
05077704,05082994,3
04828079,04885811,4
04711228,04798046,4
04607810,04607810,1
04510158,04558530,4
04399730,04399730,1
04003872,04003872,1
